Freq.	V(vout)	V(vout)/V(vin)
1.38038426460288e+02	(-3.08773263604621e+00dB,-9.41443786821472e+01°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
1.41253754462275e+02	(-2.88880152101915e+00dB,-9.42405655041271e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.44543977074593e+02	(-2.68992049909705e+00dB,-9.43389680177233e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.47910838816821e+02	(-2.49109190405813e+00dB,-9.44396360739455e+01°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
1.51356124843621e+02	(-2.29231817708319e+00dB,-9.45426205608331e+01°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
1.54881661891248e+02	(-2.09360187157135e+00dB,-9.46479734189316e+01°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
1.58489319246111e+02	(-1.89494565815956e+00dB,-9.47557476565334e+01°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
1.62181009735893e+02	(-1.69635232995330e+00dB,-9.48659973646369e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.65958690743756e+02	(-1.49782480797602e+00dB,-9.49787777315751e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.69824365246174e+02	(-1.29936614684504e+00dB,-9.50941450572615e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.73780082874937e+02	(-1.10097954068186e+00dB,-9.52121567669969e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.77827941003892e+02	(-9.02668329264739e-01dB,-9.53328714247743e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.81970085860998e+02	(-7.04436004431619e-01dB,-9.54563487460193e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.86208713666287e+02	(-5.06286216741690e-01dB,-9.55826496096935e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.90546071796324e+02	(-3.08222782403600e-01dB,-9.57118360696867e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.94984459975804e+02	(-1.10249690478679e-01dB,-9.58439713654167e+01°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
1.99526231496888e+02	(8.76288896326628e-02dB,-9.59791199315516e+01°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
2.04173794466953e+02	(2.85408600413112e-01dB,-9.61173474067600e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.08929613085404e+02	(4.83084888151112e-01dB,-9.62587206413938e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.13796208950223e+02	(6.80652994555953e-01dB,-9.64033077039956e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.18776162394955e+02	(8.78107948057439e-01dB,-9.65511778865206e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.23872113856834e+02	(1.07544455478253e+00dB,-9.67024017081526e+01°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
2.29086765276777e+02	(1.27265738920147e+00dB,-9.68570509175877e+01°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
2.34422881531992e+02	(1.46974078443640e+00dB,-9.70151984936509e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.39883291901949e+02	(1.66668882222585e+00dB,-9.71769186441024e+01°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
2.45470891568503e+02	(1.86349532253884e+00dB,-9.73422868024808e+01°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
2.51188643150958e+02	(2.06015383283295e+00dB,-9.75113796228236e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.57039578276886e+02	(2.25665761695157e+00dB,-9.76842749720944e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.63026799189538e+02	(2.45299964365590e+00dB,-9.78610519201360e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.69153480392691e+02	(2.64917257478848e+00dB,-9.80417907269604e+01°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
2.75422870333816e+02	(2.84516875306589e+00dB,-9.82265728271749e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.81838293126445e+02	(3.04098018949936e+00dB,-9.84154808113328e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.88403150312660e+02	(3.23659855044331e+00dB,-9.86085984039885e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.95120922666638e+02	(3.43201514427314e+00dB,-9.88060104382220e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.01995172040201e+02	(3.62722090769562e+00dB,-9.90078028263901e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.09029543251358e+02	(3.82220639169618e+00dB,-9.92140625268476e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.16227766016837e+02	(4.01696174713012e+00dB,-9.94248775063725e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.23593656929628e+02	(4.21147670996645e+00dB,-9.96403366980155e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.31131121482590e+02	(4.40574058619568e+00dB,-9.98605299540843e+01°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.38844156139202e+02	(4.59974223641513e+00dB,-1.00085547993961e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.46736850452531e+02	(4.79347006010868e+00dB,-1.00315482346442e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.54813389233575e+02	(4.98691197964040e+00dB,-1.00550425286271e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
3.63078054770101e+02	(5.18005542398533e+00dB,-1.00790469764547e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.71535229097172e+02	(5.37288731222402e+00dB,-1.01035709332642e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
3.80189396320560e+02	(5.56539403683156e+00dB,-1.01286238059298e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
3.89045144994280e+02	(5.75756144679592e+00dB,-1.01542150440538e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
3.98107170553496e+02	(5.94937483060514e+00dB,-1.01803541302013e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
4.07380277804112e+02	(6.14081889914767e+00dB,-1.02070505693438e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
4.16869383470335e+02	(6.33187776857550e+00dB,-1.02343138774721e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
4.26579518801592e+02	(6.52253494318517e+00dB,-1.02621535693426e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
4.36515832240165e+02	(6.71277329837769e+00dB,-1.02905791453177e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
4.46683592150962e+02	(6.90257506376472e+00dB,-1.03196000772659e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
