Freq.	V(n002)
2.81838293126445e+01	(-2.99805691403096e-02dB,-4.75773826267841e+00°)
2.88403150312660e+01	(-3.13884158586367e-02dB,-4.86803367801497e+00°)
2.95120922666638e+01	(-3.28621233627342e-02dB,-4.98086077011479e+00°)
3.01995172040201e+01	(-3.44047487633358e-02dB,-5.09627585931673e+00°)
3.09029543251359e+01	(-3.60194887854662e-02dB,-5.21433639159414e+00°)
3.16227766016838e+01	(-3.77096859255407e-02dB,-5.33510095185090e+00°)
3.23593656929628e+01	(-3.94788348589807e-02dB,-5.45862927665017e+00°)
3.31131121482591e+01	(-4.13305891065101e-02dB,-5.58498226630580e+00°)
3.38844156139202e+01	(-4.32687679673453e-02dB,-5.71422199626065e+00°)
3.46736850452531e+01	(-4.52973637275051e-02dB,-5.84641172767144e+00°)
3.54813389233575e+01	(-4.74205491514636e-02dB,-5.98161591711354e+00°)
3.63078054770101e+01	(-4.96426852653695e-02dB,-6.11990022531346e+00°)
3.71535229097172e+01	(-5.19683294399243e-02dB,-6.26133152481036e+00°)
3.80189396320561e+01	(-5.44022437809896e-02dB,-6.40597790644148e+00°)
3.89045144994280e+01	(-5.69494038357305e-02dB,-6.55390868453916e+00°)
3.98107170553497e+01	(-5.96150076219693e-02dB,-6.70519440072021e+00°)
4.07380277804112e+01	(-6.24044849881536e-02dB,-6.85990682614049e+00°)
4.16869383470335e+01	(-6.53235073109343e-02dB,-7.01811896207963e+00°)
4.26579518801592e+01	(-6.83779975370587e-02dB,-7.17990503871263e+00°)
4.36515832240165e+01	(-7.15741405757224e-02dB,-7.34534051191621e+00°)
4.46683592150962e+01	(-7.49183940469907e-02dB,-7.51450205794894e+00°)
4.57088189614874e+01	(-7.84174993912459e-02dB,-7.68746756583459e+00°)
4.67735141287197e+01	(-8.20784933438602e-02dB,-7.86431612726863e+00°)
4.78630092322638e+01	(-8.59087197784076e-02dB,-8.04512802385762e+00°)
4.89778819368445e+01	(-8.99158419207616e-02dB,-8.22998471149102e+00°)
5.01187233627271e+01	(-9.41078549352913e-02dB,-8.41896880163418e+00°)
5.12861383991364e+01	(-9.84930988831291e-02dB,-8.61216403932050e+00°)
5.24807460249772e+01	(-1.03080272051015e-01dB,-8.80965527760962e+00°)
5.37031796370252e+01	(-1.07878444647729e-01dB,-9.01152844826718e+00°)
5.49540873857623e+01	(-1.12897072863283e-01dB,-9.21787052841032e+00°)
5.62341325190348e+01	(-1.18146013284151e-01dB,-9.42876950285154e+00°)
5.75439937337156e+01	(-1.23635537655665e-01dB,-9.64431432186210e+00°)
5.88843655355588e+01	(-1.29376347980294e-01dB,-9.86459485406474e+00°)
6.02559586074357e+01	(-1.35379591937992e-01dB,-1.00897018341541e+01°)
