Freq.	V(Vout)/V(Vin)	V(vout)
5.12861383991364e+02	(1.97331064583091e+01dB,1.79981536990834e+02°)	(8.03113618030259e+00dB,-1.05085972625859e+02°)
5.24807460249771e+02	(1.97331064370557e+01dB,1.79981106932135e+02°)	(8.21732657233973e+00dB,-1.05420880817438e+02°)
5.37031796370251e+02	(1.97331064148007e+01dB,1.79980666856084e+02°)	(8.40291304815740e+00dB,-1.05762479769832e+02°)
5.49540873857623e+02	(1.97331063914968e+01dB,1.79980216529347e+02°)	(8.58787133142125e+00dB,-1.06110853800693e+02°)
5.62341325190348e+02	(1.97331063670946e+01dB,1.79979755713156e+02°)	(8.77217635900081e+00dB,-1.06466084947211e+02°)
5.75439937337155e+02	(1.97331063415425e+01dB,1.79979284163179e+02°)	(8.95580227221042e+00dB,-1.06828252701546e+02°)
5.88843655355587e+02	(1.97331063147860e+01dB,1.79978801629396e+02°)	(9.13872240959176e+00dB,-1.07197433734029e+02°)
6.02559586074356e+02	(1.97331062867686e+01dB,1.79978307855959e+02°)	(9.32090930140696e+00dB,-1.07573701604211e+02°)
6.16595001861481e+02	(1.97331062574308e+01dB,1.79977802581066e+02°)	(9.50233466601938e+00dB,-1.07957126459884e+02°)
6.30957344480192e+02	(1.97331062267103e+01dB,1.79977285536811e+02°)	(9.68296940834588e+00dB,-1.08347774724325e+02°)
6.45654229034654e+02	(1.97331061945420e+01dB,1.79976756449053e+02°)	(9.86278362057084e+00dB,-1.08745708772083e+02°)
6.60693448007594e+02	(1.97331061608577e+01dB,1.79976215037262e+02°)	(1.00417465853181e+01dB,-1.09150986593730e+02°)
6.76082975391980e+02	(1.97331061255858e+01dB,1.79975661014374e+02°)	(1.02198267814810e+01dB,-1.09563661450142e+02°)
6.91830970918935e+02	(1.97331060886517e+01dB,1.79975094086641e+02°)	(1.03969918929156e+01dB,-1.09983781516949e+02°)
7.07945784384136e+02	(1.97331060499769e+01dB,1.79974513953469e+02°)	(1.05732088202018e+01dB,-1.10411389519966e+02°)
7.24435960074988e+02	(1.97331060094794e+01dB,1.79973920307265e+02°)	(1.07484436956809e+01dB,-1.10846522362528e+02°)
7.41310241300916e+02	(1.97331059670733e+01dB,1.79973312833270e+02°)	(1.09226619019746e+01dB,-1.11289210745805e+02°)
7.58577575029182e+02	(1.97331059226687e+01dB,1.79972691209394e+02°)	(1.10958280941874e+01dB,-1.11739478783328e+02°)
7.76247116628690e+02	(1.97331058761714e+01dB,1.79972055106045e+02°)	(1.12679062259912e+01dB,-1.12197343611110e+02°)
