time_s,Vin_V,VL_V
0.0003375,-0.4020100459,0.028996874753824786
0.000338,-0.3859296441,0.022134356612704152
0.00033850000000000004,-0.393969845,-0.028292544460913477
0.000339,-0.393969845,-0.010039106906365421
0.0003395,-0.393969845,0.027470249000296418
0.00034,-0.3859296441,0.02200758247073718
0.0003405,-0.3859296441,-0.0004802546011355288
0.00034100000000000005,-0.3899497446,0.001012077173923354
0.0003415,-0.3859296441,0.009353443383476887
0.000342,-0.3859296441,0.015219711745746082
0.00034250000000000003,-0.3859296441,0.013136438734126897
0.000343,-0.3859296441,0.011794533579454002
0.0003435,-0.3798994934,0.0004286298560655596
0.000344,-0.3859296441,-0.013446914380753376
0.00034449999999999997,-0.3859296441,0.014299820580580167
0.00034500000000000004,-0.3819095436,0.009749733213514432
0.0003455,-0.3859296441,-0.0221183414267608
0.000346,-0.3859296441,0.01978485138016626
0.0003465,-0.3798994934,0.015688918849749652
0.000347,-0.3778894432,-0.015592040985189452
0.00034750000000000004,-0.3839195939,-7.414484623883102e-05
0.000348,-0.3778894432,0.009914412326107094
0.0003485,-0.375879393,0.006250724301155106
0.000349,-0.3778894432,0.0011289673347166978
0.0003495,-0.3778894432,0.0010606006715568285
0.00035000000000000005,-0.3778894432,0.0044282902970884785
0.0003505,-0.3718592925,0.005124700126906406
0.000351,-0.3738693427,0.013266338119263216
0.00035150000000000003,-0.3698492423,-0.0036736222577130207
0.000352,-0.3778894432,0.0036441303567018046
0.0003525,-0.3718592925,0.017630360983695144
0.000353,-0.3698492423,-0.0004466687579735007
0.0003535,-0.3698492423,0.04048552777559454
0.00035400000000000004,-0.3618090414,0.0031691884040517823
0.0003545,-0.367839192,0.0019631980096276435
0.000355,-0.3618090414,0.007019034706771158
0.0003555,-0.3638190916,0.003083145632306884
0.000356,-0.3618090414,0.008607107961406795
0.00035650000000000005,-0.3618090414,-0.005950185850993184
0.000357,-0.3618090414,-0.0018432705315275639
0.0003575,-0.3618090414,-0.012666570061363677
0.00035800000000000003,-0.3618090413,0.005732396333318064
0.0003585,-0.3597989911,0.012069087439831375
0.000359,-0.3577889409,0.00885756678407641
0.0003595,-0.3537688404,0.011152145984647744
0.00036,-0.3537688404,-0.01970456907210293
0.00036050000000000003,-0.3618090414,0.011664235213074891
0.000361,-0.3537688404,0.026510534902739066
0.0003615,-0.3537688404,0.01091635023300178
0.000362,-0.3537688404,0.020648434389644938
0.0003625,-0.3477386897,0.005785134516640441
0.00036300000000000004,-0.3537688404,-0.011537743582088322
0.0003635,-0.3517587902,0.00908602567775729
0.000364,-0.3537688404,0.014182088812302478
0.0003645,-0.3457286395,0.024247585333430823
0.000365,-0.3457286395,-0.016449781795805585
0.00036550000000000005,-0.3457286395,0.01577492069778303
0.000366,-0.3457286395,-0.0011505113828595057
0.0003665,-0.3457286395,0.016475780011676204
0.00036700000000000003,-0.341708539,0.0022802144786279945
0.0003675,-0.3457286395,-0.010077659284179396
0.000368,-0.3376884386,0.026750798482736073
0.0003685,-0.3376884386,0.006236873621555756
0.00036899999999999997,-0.3376884386,0.01362571437013145
0.00036950000000000004,-0.3376884386,-0.0036675787392892
0.00037,-0.3376884386,-0.017585763766719668
0.0003705,-0.3376884386,0.01950400643178549
0.000371,-0.3336683381,0.012563315900613327
0.0003715,-0.3376884386,-0.015430237267385469
0.00037200000000000004,-0.3376884386,0.019130892552100424
0.0003725,-0.3296482377,0.013275649918919776
0.000373,-0.3336683381,-0.00010218664620857329
0.0003735,-0.3296482377,0.01789475759155192
0.000374,-0.3296482377,0.002098689526461876
0.00037450000000000005,-0.3276381874,0.018123043031753397
0.000375,-0.3216080368,0.0023514908606394997
0.0003755,-0.3276381874,-0.009722154149010676
0.00037600000000000003,-0.3296482377,0.01863825197679108
