x-axis,1,2
second,Volt,Volt
-409.6400E-06,-257.2864294E-03,-241.2060276E-03
-409.1500E-06,-257.2864294E-03,-233.1658266E-03
-408.6600E-06,-241.2060276E-03,-217.0854248E-03
-408.1700E-06,-230.1507513E-03,-197.9899476E-03
-407.6800E-06,-217.0854248E-03,-201.0050230E-03
-407.1900E-06,-192.9648221E-03,-184.9246211E-03
-406.7000E-06,-186.9346714E-03,-168.8442193E-03
-406.2100E-06,-169.8492444E-03,-160.8040184E-03
-405.7200E-06,-160.8040184E-03,-140.7035161E-03
-405.2300E-06,-138.6934659E-03,-128.6432147E-03
-404.7400E-06,-130.6532649E-03,-114.5728631E-03
-404.2500E-06,-125.6281394E-03,-104.5226119E-03
-403.7600E-06,-112.5628129E-03,-88.4422101E-03
-403.2700E-06,-96.4824110E-03,-80.4020092E-03
-402.7800E-06,-78.3919590E-03,-62.3115571E-03
-402.2900E-06,-71.3567832E-03,-41.2060297E-03
-401.8000E-06,-52.2613060E-03,-32.1608037E-03
-401.3100E-06,-40.2010046E-03,-17.0854270E-03
-400.8200E-06,-30.1507534E-03,-8.0402009E-03
-400.3300E-06,-13.0653265E-03,+3.0150753E-03
-399.8400E-06,+0.0E+00,+24.1206028E-03
-399.3500E-06,+13.0653265E-03,+27.1356781E-03
-398.8600E-06,+24.1206028E-03,+42.2110548E-03
-398.3700E-06,+40.2010046E-03,+64.3216074E-03
-397.8800E-06,+52.2613060E-03,+72.3618083E-03
-397.3900E-06,+65.3266325E-03,+95.4773859E-03
-396.9000E-06,+86.4321599E-03,+96.4824110E-03
-396.4100E-06,+96.4824110E-03,+115.5778882E-03
-395.9200E-06,+104.5226119E-03,+128.6432147E-03
-395.4300E-06,+125.6281394E-03,+144.7236165E-03
-394.9400E-06,+136.6834156E-03,+146.7336668E-03
-394.4500E-06,+145.7286417E-03,+168.8442193E-03
-393.9600E-06,+164.8241188E-03,+180.9045207E-03
-393.4700E-06,+175.8793951E-03,+193.9698472E-03
-392.9800E-06,+184.9246211E-03,+207.0351737E-03
-392.4900E-06,+201.0050230E-03,+220.1005002E-03
-392.0000E-06,+209.0452239E-03,+225.1256257E-03
-391.5100E-06,+230.1507513E-03,+241.2060276E-03
-391.0200E-06,+239.1959773E-03,+257.2864294E-03
-390.5300E-06,+257.2864294E-03,+258.2914545E-03
-390.0400E-06,+257.2864294E-03,+273.3668312E-03
-389.5500E-06,+265.3266303E-03,+282.4120573E-03
-389.0600E-06,+281.4070322E-03,+289.4472331E-03
-388.5700E-06,+292.4623084E-03,+305.5276349E-03
-388.0800E-06,+305.5276349E-03,+313.5678358E-03
-387.5900E-06,+313.5678358E-03,+316.5829112E-03
-387.1000E-06,+321.6080368E-03,+331.6582879E-03
-386.6100E-06,+322.6130619E-03,+338.6934637E-03
-386.1200E-06,+333.6683381E-03,+349.7487400E-03
-385.6300E-06,+346.7336646E-03,+361.8090414E-03
-385.1400E-06,+361.8090414E-03,+363.8190916E-03
-384.6500E-06,+364.8241167E-03,+374.8743678E-03
-384.1600E-06,+369.8492423E-03,+385.9296441E-03
-383.6700E-06,+382.9145688E-03,+388.9447195E-03
-383.1800E-06,+391.9597948E-03,+387.9396943E-03
-382.6900E-06,+393.9698450E-03,+393.9698450E-03
-382.2000E-06,+402.0100459E-03,+406.0301464E-03
-381.7100E-06,+403.0150711E-03,+410.0502469E-03
-381.2200E-06,+410.0502469E-03,+426.1306487E-03
-380.7300E-06,+413.0653222E-03,+418.0904478E-03
